id,YEAR,STATES,LAT,LONG,POPULATION,AREA(KM2),DENSITY,TOTAL PC,TOTAL VC,TOTAL CRIME,UNEMPLOYMENT
134,1990,Negeri sembilan,2.7258,101.9424,713100,6686,106.65569850000001,2711,412,3123,3.8
135,1990,Pahang,3.8126,103.3256,1054200,35965,29.31183095,2284,261,2545,3.1
136,1990,Penang,5.4164,100.3327,1118700,1048,1067.461832,6403,1174,7577,2.8
137,1990,Perak,4.5921,101.0901,1992900,20976,95.00858124,5999,866,6865,4.1
138,1990,Perlis,6.443589,100.216599,187000,819,228.32722830000003,540,27,567,4.3
139,1990,Selangor,3.0738,101.524803,2345200,8104,289.3879566,11690,1861,13551,2.1
140,1990,Terengganu,5.3117,103.1324,784600,13035,60.19179133,524,88,612,6.9
141,1990,Sarawak,1.5533,110.3592,1687900,124450,13.56287666,3899,224,4123,9.9
142,1990,Sabah,5.420404,116.796783,1787500,73631,24.27645964,1987,475,2462,9.0
143,1991,Johor,1.4854,103.366585,2188200,19166,114.17092770000001,5757,977,6734,3.1
144,1991,Kedah,6.1184,100.3685,1371500,9500,144.36842109999998,2152,259,2411,4.1
145,1991,Kelantan,6.125397,102.238068,1226900,17100,71.74853801,1024,141,1165,4.2
146,1991,Melaka,2.1944,102.2491,540300,1664,324.6995192,1336,219,1555,3.7
147,1991,Negeri sembilan,2.7258,101.9424,726400,6686,108.6449297,2110,400,2510,3.5
148,1991,Pahang,3.8126,103.3256,1079700,35965,30.02085361,2180,270,2450,3.0
149,1991,Penang,5.4164,100.3327,1133600,1048,1081.6793890000001,5763,931,6694,2.8
150,1991,Perak,4.5921,101.0901,1995300,20976,95.12299771,5942,867,6809,3.9
151,1991,Perlis,6.443589,100.216599,190500,819,232.6007326,436,41,477,3.6
152,1991,Selangor,3.0738,101.524803,2431300,8104,300.0123396,9939,1986,11925,2.1
153,1991,Terengganu,5.3117,103.1324,810600,13035,62.18642117,478,80,558,6.2
154,1991,Sarawak,1.5533,110.3592,1723900,124450,13.85214946,4507,304,4811,8.3
155,1991,Sabah,5.420404,116.796783,1814600,73631,24.64451114,2434,535,2969,8.1
156,1992,Johor,1.4854,103.366585,2249000,19166,117.3432119,8469,1229,9698,2.2
157,1992,Kedah,6.1184,100.3685,1402200,9500,147.6,2344,230,2574,3.7
158,1992,Kelantan,6.125397,102.238068,1243500,17100,72.71929825,1271,160,1431,5.3
159,1992,Melaka,2.1944,102.2491,551800,1664,331.6105769,1372,204,1576,3.3
